Grant County, Kansas, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,52.4,5.6
198902,38.6,-11.9
198903,63.3,2.8
198904,74.0,4.8
198905,77.2,-1.4
198906,79.4,-9.6
198907,89.5,-3.8
198908,85.6,-5.0
198909,78.8,-5.1
198910,74.8,3.3
198911,62.6,4.7
198912,42.4,-4.1
199001,48.3,1.5
199002,46.3,-4.2
199003,57.1,-3.4
199004,69.4,0.2
199005,74.3,-4.3
199006,92.0,3.0
199007,89.9,-3.4
199008,90.8,0.2
199009,85.3,1.4
199010,72.3,0.8
199011,63.9,6.0
199012,42.6,-3.9
199101,40.2,-6.6
199102,61.7,11.2
199103,61.9,1.4
199104,69.5,0.3
199105,79.9,1.3
199106,88.2,-0.8
199107,91.5,-1.8
199108,89.1,-1.5
199109,82.5,-1.4
199110,73.4,1.9
199111,47.7,-10.2
199112,46.4,-0.1
199201,49.8,3.0
199202,56.0,5.5
199203,63.8,3.3
199204,71.7,2.5
199205,77.0,-1.6
199206,81.1,-7.9
199207,89.5,-3.8
199208,83.7,-6.9
199209,84.0,0.1
199210,73.1,1.6
199211,47.3,-10.6
199212,38.4,-8.1
199301,34.0,-12.8
199302,40.0,-10.5
199303,55.4,-5.1
199304,64.5,-4.7
199305,76.3,-2.3
199306,85.6,-3.4
199307,91.5,-1.8
199308,89.9,-0.7
199309,79.4,-4.5
199310,67.7,-3.8
199311,52.2,-5.7
199312,51.2,4.7
199401,47.2,0.4
199402,47.2,-3.3
199403,63.7,3.2
199404,68.0,-1.2
199405,79.2,0.6
199406,93.6,4.6
199407,91.9,-1.4
199408,91.6,1.0
199409,82.4,-1.5
199410,71.9,0.4
199411,56.3,-1.6
199412,52.2,5.7
199501,47.8,1.0
199502,57.7,7.2
199503,56.0,-4.5
199504,63.9,-5.3
199505,68.3,-10.3
199506,84.2,-4.8
199507,92.2,-1.1
199508,94.9,4.3
199509,80.5,-3.4
199510,73.0,1.5
199511,61.4,3.5
199512,47.5,1.0
199601,45.7,-1.1
199602,54.9,4.4
199603,54.6,-5.9
199604,72.2,3.0
199605,81.0,2.4
199606,90.3,1.3
199607,89.8,-3.5
199608,85.4,-5.2
199609,78.5,-5.4
199610,70.8,-0.7
199611,53.5,-4.4
199612,50.4,3.9
199701,45.2,-1.6
199702,48.0,-2.5
199703,65.6,5.1
199704,61.5,-7.7
199705,77.3,-1.3
199706,85.3,-3.7
199707,93.6,0.3
199708,88.4,-2.2
199709,83.7,-0.2
199710,70.3,-1.2
199711,52.2,-5.7
199712,40.0,-6.5
199801,46.3,-0.5
199802,51.4,0.9
199803,51.3,-9.2
199804,66.3,-2.9
199805,83.9,5.3
199806,90.2,1.2
199807,93.6,0.3
199808,90.6,0.0
199809,89.8,5.9
199810,73.2,1.7
199811,59.3,1.4
199812,48.2,1.7
199901,49.8,3.0
199902,60.1,9.6
199903,55.6,-4.9
199904,67.4,-1.8
199905,76.3,-2.3
199906,86.0,-3.0
199907,94.7,1.4
199908,93.1,2.5
199909,78.8,-5.1
199910,72.2,0.7
199911,66.8,8.9
199912,52.6,6.1
200001,50.2,3.4
200002,59.3,8.8
200003,56.8,-3.7
200004,71.5,2.3
200005,82.5,3.9
200006,87.1,-1.9
200007,94.5,1.2
200008,97.2,6.6
200009,89.1,5.2
200010,71.6,0.1
200011,50.5,-7.4
200012,42.6,-3.9
200101,44.4,-2.4
200102,43.8,-6.7
200103,54.4,-6.1
200104,73.9,4.7
200105,78.7,0.1
200106,88.2,-0.8
200107,98.6,5.3
200108,93.5,2.9
200109,85.3,1.4
200110,73.4,1.9
200111,62.3,4.4
200112,52.5,6.0
200201,49.6,2.8
200202,51.3,0.8
200203,59.6,-0.9
200204,73.2,4.0
200205,79.7,1.1
200206,94.4,5.4
200207,94.6,1.3
200208,91.2,0.6
200209,82.8,-1.1
200210,62.5,-9.0
200211,56.4,-1.5
200212,46.6,0.1
200301,49.2,2.4
200302,46.7,-3.8
200303,59.1,-1.4
200304,71.9,2.7
200305,79.2,0.6
200306,82.6,-6.4
200307,97.8,4.5
200308,94.2,3.6
200309,80.8,-3.1
200310,76.2,4.7
200311,54.6,-3.3
200312,50.5,4.0
200401,48.2,1.4
200402,49.6,-0.9
200403,66.1,5.6
200404,68.8,-0.4
200405,85.0,6.4
200406,86.4,-2.6
200407,87.8,-5.5
200408,85.1,-5.5
200409,84.8,0.9
200410,70.0,-1.5
200411,52.5,-5.4
200412,51.8,5.3
200501,44.7,-2.1
200502,51.4,0.9
200503,59.6,-0.9
200504,68.7,-0.5
200505,78.0,-0.6
200506,88.7,-0.3
200507,93.9,0.6
200508,89.8,-0.8
200509,86.8,2.9
200510,73.0,1.5
200511,62.8,4.9
200512,47.4,0.9
200601,57.8,11.0
200602,52.7,2.2
200603,60.8,0.3
200604,77.0,7.8
200605,82.2,3.6
200606,93.1,4.1
200607,95.1,1.8
200608,88.9,-1.7
200609,79.1,-4.8
200610,70.6,-0.9
200611,60.5,2.6
200612,46.6,0.1
200701,33.5,-13.3
200702,41.4,-9.1
200703,65.0,4.5
200704,62.5,-6.7
200705,78.7,0.1
200706,85.3,-3.7
200707,92.7,-0.6
200708,94.8,4.2
200709,86.8,2.9
200710,77.0,5.5
200711,61.0,3.1
200712,42.1,-4.4
200801,46.3,-0.5
200802,50.4,-0.1
200803,60.5,0.0
200804,67.3,-1.9
200805,81.3,2.7
200806,91.4,2.4
200807,94.0,0.7
200808,87.9,-2.7
200809,80.5,-3.4
200810,70.1,-1.4
200811,60.9,3.0
200812,47.6,1.1
200901,51.2,4.4
200902,59.0,8.5
200903,61.9,1.4
200904,66.5,-2.7
200905,76.0,-2.6
200906,88.0,-1.0
200907,92.4,-0.9
200908,89.8,-0.8
200909,79.6,-4.3
200910,60.7,-10.8
200911,60.6,2.7
200912,40.9,-5.6
201001,46.0,-0.8
201002,42.2,-8.3
201003,58.8,-1.7
201004,70.6,1.4
201005,76.6,-2.0
201006,92.2,3.2
201007,93.1,-0.2
201008,94.1,3.5
201009,89.7,5.8
201010,75.9,4.4
201011,59.7,1.8
201012,49.9,3.4
201101,45.7,-1.1
201102,48.6,-1.9
201103,60.2,-0.3
201104,72.2,3.0
201105,79.4,0.8
201106,94.3,5.3
201107,101.0,7.7
201108,97.6,7.0
201109,83.4,-0.5
201110,72.5,1.0
201111,57.3,-0.6
201112,39.1,-7.4
201201,49.8,3.0
201202,50.3,-0.2
201203,69.6,9.1
201204,72.6,3.4
201205,84.6,6.0
201206,95.1,6.1
201207,98.2,4.9
201208,93.3,2.7
201209,85.3,1.4
201210,68.5,-3.0
201211,65.6,7.7
201212,48.0,1.5
201301,45.3,-1.5
201302,49.2,-1.3
201303,59.6,-0.9
201304,63.5,-5.7
201305,81.3,2.7
201306,93.8,4.8
201307,92.8,-0.5
201308,89.8,-0.8
201309,86.6,2.7
201310,70.6,-0.9
201311,55.0,-2.9
201312,44.7,-1.8
201401,47.0,0.2
201402,43.2,-7.3
201403,58.4,-2.1
201404,69.7,0.5
201405,81.5,2.9
201406,89.0,0.0
201407,90.4,-2.9
201408,93.4,2.8
201409,83.5,-0.4
201410,74.8,3.3
201411,55.9,-2.0
201412,45.5,-1.0
201501,47.1,0.3
201502,50.4,-0.1
201503,63.4,2.9
201504,71.9,2.7
201505,73.0,-5.6
201506,90.2,1.2
201507,92.8,-0.5
201508,90.0,-0.6
201509,89.2,5.3
201510,72.5,1.0
201511,58.5,0.6
201512,47.5,1.0
201601,48.7,1.9
201602,58.6,8.1
201603,66.7,6.2
201604,69.6,0.4
201605,75.0,-3.6
201606,91.7,2.7
201607,93.9,0.6
201608,88.2,-2.4
201609,86.2,2.3
201610,80.2,8.7
201611,65.5,7.6
201612,43.7,-2.8
201701,44.9,-1.9
201702,61.7,11.2
201703,67.1,6.6
201704,68.3,-0.9
201705,75.0,-3.6
201706,91.5,2.5
201707,93.4,0.1
201708,85.0,-5.6
201709,83.1,-0.8
201710,72.8,1.3
201711,60.8,2.9
201712,49.2,2.7
201801,51.2,4.4
201802,50.2,-0.3
201803,66.0,5.5
201804,66.5,-2.7
201805,85.9,7.3
201806,93.3,4.3
201807,92.6,-0.7
201808,88.7,-1.9
201809,82.9,-1.0
201810,65.5,-6.0
201811,53.5,-4.4
201812,47.5,1.0
201901,43.5,-3.3
201902,43.0,-7.5
201903,52.9,-7.6
201904,71.4,2.2
201905,72.2,-6.4
201906,86.7,-2.3
201907,93.5,0.2
201908,93.9,3.3
201909,91.2,7.3
201910,66.1,-5.4
201911,57.5,-0.4
