Haskell County, Kansas, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,51.7,5.4
198902,37.6,-12.1
198903,62.9,3.0
198904,73.6,4.8
198905,77.1,-1.2
198906,78.8,-9.6
198907,88.8,-4.0
198908,86.0,-4.5
198909,79.5,-4.2
198910,74.1,2.9
198911,61.6,4.0
198912,41.8,-4.3
199001,47.3,1.0
199002,45.4,-4.3
199003,57.5,-2.4
199004,68.0,-0.8
199005,73.7,-4.6
199006,91.7,3.3
199007,89.8,-3.0
199008,91.1,0.6
199009,85.6,1.9
199010,72.2,1.0
199011,63.3,5.7
199012,41.7,-4.4
199101,40.0,-6.3
199102,60.6,10.9
199103,61.5,1.6
199104,68.9,0.1
199105,79.9,1.6
199106,88.1,-0.3
199107,92.1,-0.7
199108,89.4,-1.1
199109,82.4,-1.3
199110,72.6,1.4
199111,46.5,-11.1
199112,46.0,-0.1
199201,49.8,3.5
199202,55.0,5.3
199203,63.2,3.3
199204,71.0,2.2
199205,76.6,-1.7
199206,80.0,-8.4
199207,88.7,-4.1
199208,83.1,-7.4
199209,83.5,-0.2
199210,72.6,1.4
199211,46.8,-10.8
199212,37.2,-8.9
199301,32.7,-13.6
199302,38.4,-11.3
199303,54.2,-5.7
199304,63.3,-5.5
199305,75.6,-2.7
199306,84.0,-4.4
199307,90.1,-2.7
199308,88.7,-1.8
199309,79.1,-4.6
199310,67.1,-4.1
199311,51.6,-6.0
199312,50.7,4.6
199401,46.2,-0.1
199402,45.6,-4.1
199403,62.4,2.5
199404,67.4,-1.4
199405,78.4,0.1
199406,92.7,4.3
199407,91.2,-1.6
199408,91.9,1.4
199409,81.8,-1.9
199410,70.9,-0.3
199411,55.8,-1.8
199412,50.4,4.3
199501,47.1,0.8
199502,56.9,7.2
199503,54.9,-5.0
199504,63.8,-5.0
199505,67.7,-10.6
199506,83.0,-5.4
199507,91.4,-1.4
199508,94.6,4.1
199509,80.2,-3.5
199510,72.4,1.2
199511,61.1,3.5
199512,47.7,1.6
199601,45.0,-1.3
199602,54.6,4.9
199603,53.9,-6.0
199604,71.6,2.8
199605,81.0,2.7
199606,89.1,0.7
199607,89.3,-3.5
199608,84.8,-5.7
199609,77.3,-6.4
199610,70.4,-0.8
199611,52.6,-5.0
199612,50.1,4.0
199701,44.2,-2.1
199702,47.1,-2.6
199703,65.0,5.1
199704,61.0,-7.8
199705,76.2,-2.1
199706,84.0,-4.4
199707,92.3,-0.5
199708,88.0,-2.5
199709,83.4,-0.3
199710,71.0,-0.2
199711,52.4,-5.2
199712,40.1,-6.0
199801,45.0,-1.3
199802,50.7,1.0
199803,49.7,-10.2
199804,65.8,-3.0
199805,82.5,4.2
199806,89.8,1.4
199807,93.1,0.3
199808,90.6,0.1
199809,89.6,5.9
199810,72.7,1.5
199811,58.6,1.0
199812,47.9,1.8
199901,48.5,2.2
199902,59.1,9.4
199903,54.2,-5.7
199904,66.9,-1.9
199905,76.1,-2.2
199906,84.2,-4.2
199907,93.5,0.7
199908,92.1,1.6
199909,77.9,-5.8
199910,72.1,0.9
199911,67.0,9.4
199912,52.0,5.9
200001,49.2,2.9
200002,58.1,8.4
200003,56.5,-3.4
200004,70.2,1.4
200005,81.3,3.0
200006,86.0,-2.4
200007,93.6,0.8
200008,96.9,6.4
200009,88.4,4.7
200010,71.0,-0.2
200011,50.1,-7.5
200012,41.4,-4.7
200101,44.4,-1.9
200102,42.1,-7.6
200103,53.8,-6.1
200104,73.3,4.5
200105,78.2,-0.1
200106,87.6,-0.8
200107,98.5,5.7
200108,94.0,3.5
200109,84.4,0.7
200110,72.8,1.6
200111,62.6,5.0
200112,52.6,6.5
200201,49.0,2.7
200202,50.4,0.7
200203,59.1,-0.8
200204,72.5,3.7
200205,78.8,0.5
200206,92.6,4.2
200207,94.2,1.4
200208,90.9,0.4
200209,83.0,-0.7
200210,61.6,-9.6
200211,56.3,-1.3
200212,45.9,-0.2
200301,49.3,3.0
200302,45.5,-4.2
200303,58.0,-1.9
200304,71.5,2.7
200305,78.2,-0.1
200306,82.7,-5.7
200307,97.7,4.9
200308,93.6,3.1
200309,80.0,-3.7
200310,75.4,4.2
200311,54.6,-3.0
200312,50.2,4.1
200401,47.4,1.1
200402,48.7,-1.0
200403,65.5,5.6
200404,68.6,-0.2
200405,84.6,6.3
200406,85.5,-2.9
200407,87.7,-5.1
200408,84.5,-6.0
200409,84.8,1.1
200410,69.4,-1.8
200411,52.7,-4.9
200412,52.0,5.9
200501,43.8,-2.5
200502,51.4,1.7
200503,59.4,-0.5
200504,68.4,-0.4
200505,78.3,0.0
200506,88.0,-0.4
200507,93.6,0.8
200508,89.7,-0.8
200509,86.9,3.2
200510,72.9,1.7
200511,63.0,5.4
200512,47.1,1.0
200601,57.9,11.6
200602,52.5,2.8
200603,60.2,0.3
200604,77.0,8.2
200605,82.1,3.8
200606,92.6,4.2
200607,94.8,2.0
200608,89.0,-1.5
200609,79.2,-4.5
200610,70.0,-1.2
200611,60.1,2.5
200612,47.3,1.2
200701,34.9,-11.4
200702,41.8,-7.9
200703,64.8,4.9
200704,61.9,-6.9
200705,78.7,0.4
200706,85.0,-3.4
200707,92.7,-0.1
200708,94.9,4.4
200709,86.4,2.7
200710,76.7,5.5
200711,61.0,3.4
200712,41.8,-4.3
200801,46.4,0.1
200802,49.1,-0.6
200803,59.8,-0.1
200804,66.5,-2.3
200805,80.3,2.0
200806,90.5,2.1
200807,93.5,0.7
200808,88.1,-2.4
200809,80.1,-3.6
200810,70.2,-1.0
200811,60.4,2.8
200812,47.5,1.4
200901,50.9,4.6
200902,58.7,9.0
200903,61.3,1.4
200904,66.3,-2.5
200905,75.4,-2.9
200906,88.2,-0.2
200907,92.4,-0.4
200908,89.4,-1.1
200909,79.4,-4.3
200910,61.0,-10.2
200911,60.8,3.2
200912,40.5,-5.6
201001,44.8,-1.5
201002,41.8,-7.9
201003,58.3,-1.6
201004,70.5,1.7
201005,76.3,-2.0
201006,92.0,3.6
201007,93.0,0.2
201008,94.3,3.8
201009,89.4,5.7
201010,75.6,4.4
201011,59.1,1.5
201012,49.0,2.9
201101,44.7,-1.6
201102,47.9,-1.8
201103,59.4,-0.5
201104,71.8,3.0
201105,79.4,1.1
201106,94.7,6.3
201107,101.2,8.4
201108,98.0,7.5
201109,83.1,-0.6
201110,72.6,1.4
201111,57.4,-0.2
201112,39.9,-6.2
201201,50.4,4.1
201202,49.4,-0.3
201203,69.7,9.8
201204,72.3,3.5
201205,85.2,6.9
201206,94.9,6.5
201207,98.0,5.2
201208,93.0,2.5
201209,85.2,1.5
201210,68.8,-2.4
201211,65.4,7.8
201212,47.5,1.4
201301,44.9,-1.4
201302,48.5,-1.2
201303,58.9,-1.0
201304,63.7,-5.1
201305,81.4,3.1
201306,93.4,5.0
201307,93.1,0.3
201308,89.9,-0.6
201309,86.5,2.8
201310,70.2,-1.0
201311,55.2,-2.4
201312,44.1,-2.0
201401,46.5,0.2
201402,41.7,-8.0
201403,57.3,-2.6
201404,69.8,1.0
201405,82.0,3.7
201406,88.7,0.3
201407,89.6,-3.2
201408,93.1,2.6
201409,83.5,-0.2
201410,74.7,3.5
201411,56.1,-1.5
201412,44.6,-1.5
201501,47.0,0.7
201502,50.0,0.3
201503,63.5,3.6
201504,71.8,3.0
201505,73.0,-5.3
201506,89.8,1.4
201507,92.2,-0.6
201508,89.8,-0.7
201509,89.3,5.6
201510,72.3,1.1
201511,58.7,1.1
201512,47.5,1.4
201601,48.2,1.9
201602,58.3,8.6
201603,66.4,6.5
201604,69.3,0.5
201605,75.0,-3.3
201606,91.1,2.7
201607,93.4,0.6
201608,88.5,-2.0
201609,86.4,2.7
201610,80.4,9.2
201611,65.4,7.8
201612,43.8,-2.3
201701,45.0,-1.3
201702,62.1,12.4
201703,67.2,7.3
201704,68.6,-0.2
201705,75.7,-2.6
201706,91.4,3.0
201707,93.3,0.5
201708,85.6,-4.9
201709,84.1,0.4
201710,73.1,1.9
201711,60.5,2.9
201712,48.8,2.7
201801,50.8,4.5
201802,50.4,0.7
201803,65.6,5.7
201804,66.8,-2.0
201805,86.2,7.9
201806,93.4,5.0
201807,92.6,-0.2
201808,88.8,-1.7
201809,82.4,-1.3
201810,65.2,-6.0
201811,52.7,-4.9
201812,47.2,1.1
201901,43.5,-2.8
201902,42.5,-7.2
201903,52.2,-7.7
201904,71.4,2.6
201905,72.4,-5.9
201906,86.5,-1.9
201907,92.8,0.0
201908,93.6,3.1
201909,90.8,7.1
201910,65.6,-5.6
201911,57.6,0.0
