Kearny County, Kansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,34.4,2.2
198902,25.6,-9.6
198903,44.0,-0.5
198904,55.8,2.9
198905,63.4,0.2
198906,67.1,-6.4
198907,75.8,-2.8
198908,73.7,-2.6
198909,64.5,-4.1
198910,56.2,0.8
198911,43.4,1.1
198912,28.1,-4.4
199001,32.9,0.7
199002,33.6,-1.6
199003,43.5,-1.0
199004,53.4,0.5
199005,59.4,-3.8
199006,76.2,2.7
199007,76.2,-2.4
199008,75.7,-0.6
199009,70.8,2.2
199010,54.7,-0.7
199011,46.5,4.2
199012,27.0,-5.5
199101,27.8,-4.4
199102,42.3,7.1
199103,44.8,0.3
199104,53.7,0.8
199105,65.4,2.2
199106,74.5,1.0
199107,77.7,-0.9
199108,75.5,-0.8
199109,67.3,-1.3
199110,54.8,-0.6
199111,34.9,-7.4
199112,34.8,2.3
199201,35.3,3.1
199202,41.1,5.9
199203,47.6,3.1
199204,55.3,2.4
199205,63.2,0.0
199206,67.8,-5.7
199207,74.5,-4.1
199208,70.4,-5.9
199209,67.9,-0.7
199210,55.5,0.1
199211,35.5,-6.8
199212,25.1,-7.4
199301,23.5,-8.7
199302,27.8,-7.4
199303,42.4,-2.1
199304,49.6,-3.3
199305,61.9,-1.3
199306,70.8,-2.7
199307,77.1,-1.5
199308,74.9,-1.4
199309,62.9,-5.7
199310,52.5,-2.9
199311,36.8,-5.5
199312,35.9,3.4
199401,31.5,-0.7
199402,30.4,-4.8
199403,46.9,2.4
199404,51.7,-1.2
199405,65.0,1.8
199406,77.0,3.5
199407,76.1,-2.5
199408,76.8,0.5
199409,67.7,-0.9
199410,56.6,1.2
199411,41.5,-0.8
199412,37.1,4.6
199501,33.3,1.1
199502,40.9,5.7
199503,42.4,-2.1
199504,48.3,-4.6
199505,55.5,-7.7
199506,69.1,-4.4
199507,76.6,-2.0
199508,79.6,3.3
199509,65.9,-2.7
199510,54.0,-1.4
199511,43.5,1.2
199512,33.7,1.2
199601,29.1,-3.1
199602,36.7,1.5
199603,37.5,-7.0
199604,53.6,0.7
199605,64.2,1.0
199606,73.9,0.4
199607,76.0,-2.6
199608,73.2,-3.1
199609,64.4,-4.2
199610,55.2,-0.2
199611,38.8,-3.5
199612,33.1,0.6
199701,29.9,-2.3
199702,34.6,-0.6
199703,46.6,2.1
199704,46.7,-6.2
199705,61.4,-1.8
199706,70.9,-2.6
199707,78.0,-0.6
199708,74.9,-1.4
199709,69.4,0.8
199710,54.9,-0.5
199711,38.7,-3.6
199712,30.2,-2.3
199801,33.7,1.5
199802,39.6,4.4
199803,38.8,-5.7
199804,49.8,-3.1
199805,66.3,3.1
199806,72.0,-1.5
199807,79.1,0.5
199808,76.2,-0.1
199809,73.1,4.5
199810,57.8,2.4
199811,45.4,3.1
199812,32.9,0.4
199901,34.7,2.5
199902,42.1,6.9
199903,42.3,-2.2
199904,51.6,-1.3
199905,61.7,-1.5
199906,70.9,-2.6
199907,79.7,1.1
199908,77.7,1.4
199909,64.7,-3.9
199910,54.6,-0.8
199911,48.5,6.2
199912,37.0,4.5
200001,34.4,2.2
200002,42.0,6.8
200003,44.1,-0.4
200004,53.0,0.1
200005,66.1,2.9
200006,72.4,-1.1
200007,79.8,1.2
200008,80.6,4.3
200009,70.1,1.5
200010,57.6,2.2
200011,36.7,-5.6
200012,29.1,-3.4
200101,31.1,-1.1
200102,31.7,-3.5
200103,41.8,-2.7
200104,56.7,3.8
200105,63.8,0.6
200106,72.8,-0.7
200107,82.7,4.1
200108,77.6,1.3
200109,68.6,0.0
200110,55.4,0.0
200111,46.9,4.6
200112,35.6,3.1
200201,32.8,0.6
200202,35.5,0.3
200203,39.4,-5.1
200204,56.4,3.5
200205,63.0,-0.2
200206,78.3,4.8
200207,80.4,1.8
200208,77.0,0.7
200209,68.2,-0.4
200210,50.2,-5.2
200211,41.7,-0.6
200212,34.6,2.1
200301,34.9,2.7
200302,31.9,-3.3
200303,44.1,-0.4
200304,55.2,2.3
200305,63.6,0.4
200306,69.8,-3.7
200307,81.6,3.0
200308,79.2,2.9
200309,65.9,-2.7
200310,59.6,4.2
200311,40.4,-1.9
200312,35.3,2.8
200401,33.1,0.9
200402,34.1,-1.1
200403,50.0,5.5
200404,53.7,0.8
200405,67.2,4.0
200406,71.1,-2.4
200407,74.7,-3.9
200408,71.7,-4.6
200409,69.7,1.1
200410,56.3,0.9
200411,41.7,-0.6
200412,36.0,3.5
200501,32.5,0.3
200502,39.1,3.9
200503,44.3,-0.2
200504,52.9,0.0
200505,63.3,0.1
200506,73.1,-0.4
200507,78.1,-0.5
200508,75.6,-0.7
200509,71.6,3.0
200510,57.2,1.8
200511,45.4,3.1
200512,33.0,0.5
200601,40.0,7.8
200602,34.7,-0.5
200603,45.1,0.6
200604,58.2,5.3
200605,66.1,2.9
200606,76.0,2.5
200607,80.6,2.0
200608,76.5,0.2
200609,64.3,-4.3
200610,55.2,-0.2
200611,43.9,1.6
200612,33.5,1.0
200701,21.9,-10.3
200702,28.3,-6.9
200703,50.4,5.9
200704,48.7,-4.2
200705,64.7,1.5
200706,71.0,-2.5
200707,78.2,-0.4
200708,80.7,4.4
200709,70.9,2.3
200710,58.7,3.3
200711,42.4,0.1
200712,30.3,-2.2
200801,30.9,-1.3
200802,34.0,-1.2
200803,44.0,-0.5
200804,50.3,-2.6
200805,63.4,0.2
200806,73.7,0.2
200807,79.1,0.5
200808,75.2,-1.1
200809,66.0,-2.6
200810,54.9,-0.5
200811,45.4,3.1
200812,32.0,-0.5
200901,34.8,2.6
200902,40.3,5.1
200903,44.6,0.1
200904,51.2,-1.7
200905,62.4,-0.8
200906,72.9,-0.6
200907,77.2,-1.4
200908,74.8,-1.5
200909,65.1,-3.5
200910,47.5,-7.9
200911,45.9,3.6
200912,26.8,-5.7
201001,31.0,-1.2
201002,30.8,-4.4
201003,43.7,-0.8
201004,55.1,2.2
201005,61.2,-2.0
201006,76.7,3.2
201007,79.6,1.0
201008,78.5,2.2
201009,71.8,3.2
201010,58.7,3.3
201011,41.7,-0.6
201012,34.6,2.1
201101,29.8,-2.4
201102,30.6,-4.6
201103,43.6,-0.9
201104,54.5,1.6
201105,61.9,-1.3
201106,76.2,2.7
201107,84.2,5.6
201108,81.4,5.1
201109,66.9,-1.7
201110,56.6,1.2
201111,42.3,0.0
201112,28.7,-3.8
201201,36.0,3.8
201202,37.0,1.8
201203,52.7,8.2
201204,57.7,4.8
201205,67.7,4.5
201206,78.3,4.8
201207,83.1,4.5
201208,76.5,0.2
201209,68.6,0.0
201210,52.7,-2.7
201211,47.2,4.9
201212,34.1,1.6
201301,32.4,0.2
201302,34.5,-0.7
201303,42.5,-2.0
201304,47.2,-5.7
201305,63.9,0.7
201306,76.9,3.4
201307,78.4,-0.2
201308,76.4,0.1
201309,72.0,3.4
201310,54.6,-0.8
201311,41.4,-0.9
201312,31.0,-1.5
201401,31.4,-0.8
201402,30.3,-4.9
201403,41.4,-3.1
201404,52.8,-0.1
201405,63.2,0.0
201406,73.3,-0.2
201407,76.8,-1.8
201408,77.5,1.2
201409,69.0,0.4
201410,58.4,3.0
201411,39.7,-2.6
201412,34.8,2.3
201501,33.4,1.2
201502,35.0,-0.2
201503,46.9,2.4
201504,54.7,1.8
201505,60.2,-3.0
201506,75.8,2.3
201507,78.7,0.1
201508,75.8,-0.5
201509,73.8,5.2
201510,59.0,3.6
201511,43.3,1.0
201512,35.7,3.2
201601,34.4,2.2
201602,42.0,6.8
201603,48.4,3.9
201604,54.6,1.7
201605,60.9,-2.3
201606,76.7,3.2
201607,79.8,1.2
201608,75.3,-1.0
201609,70.9,2.3
201610,61.5,6.1
201611,48.4,6.1
201612,28.8,-3.7
201701,31.9,-0.3
201702,42.5,7.3
201703,48.3,3.8
201704,54.4,1.5
201705,60.4,-2.8
201706,75.7,2.2
201707,79.2,0.6
201708,72.7,-3.6
201709,68.3,-0.3
201710,55.9,0.5
201711,45.2,2.9
201712,32.9,0.4
201801,32.8,0.6
201802,33.6,-1.6
201803,47.0,2.5
201804,48.1,-4.8
201805,69.6,6.4
201806,77.5,4.0
201807,78.5,-0.1
201808,74.3,-2.0
201809,69.7,1.1
201810,51.8,-3.6
201811,38.8,-3.5
201812,33.2,0.7
201901,32.3,0.1
201902,28.7,-6.5
201903,39.4,-5.1
201904,54.7,1.8
201905,58.8,-4.4
201906,71.6,-1.9
201907,79.3,0.7
201908,79.0,2.7
201909,75.6,7.0
201910,49.7,-5.7
201911,40.6,-1.7
