Morton County, Kansas, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,53.0,4.7
198902,39.7,-12.0
198903,65.2,3.9
198904,74.3,4.7
198905,78.9,0.0
198906,80.4,-8.8
198907,90.5,-3.0
198908,86.9,-3.7
198909,79.2,-4.5
198910,74.7,3.1
198911,63.0,4.3
198912,42.5,-5.1
199001,49.4,1.1
199002,46.3,-5.4
199003,57.4,-3.9
199004,70.2,0.6
199005,75.0,-3.9
199006,94.3,5.1
199007,91.1,-2.4
199008,90.9,0.3
199009,85.6,1.9
199010,71.9,0.3
199011,63.8,5.1
199012,43.4,-4.2
199101,40.3,-8.0
199102,61.1,9.4
199103,61.6,0.3
199104,70.1,0.5
199105,81.0,2.1
199106,89.0,-0.2
199107,92.5,-1.0
199108,89.6,-1.0
199109,81.7,-2.0
199110,73.9,2.3
199111,49.8,-8.9
199112,46.8,-0.8
199201,50.6,2.3
199202,56.4,4.7
199203,64.8,3.5
199204,72.2,2.6
199205,77.3,-1.6
199206,82.1,-7.1
199207,90.7,-2.8
199208,85.1,-5.5
199209,83.5,-0.2
199210,73.9,2.3
199211,48.1,-10.6
199212,42.4,-5.2
199301,37.6,-10.7
199302,44.7,-7.0
199303,57.9,-3.4
199304,66.6,-3.0
199305,76.3,-2.6
199306,86.8,-2.4
199307,93.1,-0.4
199308,89.9,-0.7
199309,80.4,-3.3
199310,68.1,-3.5
199311,52.9,-5.8
199312,50.3,2.7
199401,48.1,-0.2
199402,48.9,-2.8
199403,63.2,1.9
199404,68.8,-0.8
199405,78.9,0.0
199406,94.8,5.6
199407,93.1,-0.4
199408,92.2,1.6
199409,83.4,-0.3
199410,71.8,0.2
199411,56.6,-2.1
199412,52.8,5.2
199501,48.3,0.0
199502,58.0,6.3
199503,58.0,-3.3
199504,64.4,-5.2
199505,70.1,-8.8
199506,84.5,-4.7
199507,92.5,-1.0
199508,94.6,4.0
199509,81.5,-2.2
199510,73.7,2.1
199511,62.9,4.2
199512,48.6,1.0
199601,47.7,-0.6
199602,55.3,3.6
199603,56.5,-4.8
199604,72.2,2.6
199605,84.0,5.1
199606,90.3,1.1
199607,89.4,-4.1
199608,86.6,-4.0
199609,77.6,-6.1
199610,71.9,0.3
199611,55.5,-3.2
199612,51.8,4.2
199701,46.7,-1.6
199702,49.4,-2.3
199703,66.2,4.9
199704,60.6,-9.0
199705,77.3,-1.6
199706,85.9,-3.3
199707,95.1,1.6
199708,88.0,-2.6
199709,83.5,-0.2
199710,69.8,-1.8
199711,53.1,-5.6
199712,40.6,-7.0
199801,48.3,0.0
199802,52.6,0.9
199803,52.5,-8.8
199804,66.3,-3.3
199805,84.1,5.2
199806,90.5,1.3
199807,93.6,0.1
199808,89.0,-1.6
199809,90.4,6.7
199810,73.4,1.8
199811,60.4,1.7
199812,48.8,1.2
199901,51.1,2.8
199902,60.8,9.1
199903,55.8,-5.5
199904,67.2,-2.4
199905,76.4,-2.5
199906,86.4,-2.8
199907,94.9,1.4
199908,92.6,2.0
199909,79.4,-4.3
199910,71.9,0.3
199911,67.2,8.5
199912,53.0,5.4
200001,51.9,3.6
200002,61.5,9.8
200003,57.4,-3.9
200004,71.8,2.2
200005,82.9,4.0
200006,86.5,-2.7
200007,94.7,1.2
200008,97.1,6.5
200009,89.3,5.6
200010,71.1,-0.5
200011,51.0,-7.7
200012,44.4,-3.2
200101,44.0,-4.3
200102,46.0,-5.7
200103,54.7,-6.6
200104,74.8,5.2
200105,77.9,-1.0
200106,89.0,-0.2
200107,98.9,5.4
200108,93.2,2.6
200109,85.4,1.7
200110,73.4,1.8
200111,61.3,2.6
200112,53.3,5.7
200201,50.1,1.8
200202,51.9,0.2
200203,60.5,-0.8
200204,74.5,4.9
200205,81.4,2.5
200206,94.5,5.3
200207,94.4,0.9
200208,91.3,0.7
200209,81.9,-1.8
200210,62.8,-8.8
200211,57.0,-1.7
200212,46.8,-0.8
200301,50.9,2.6
200302,47.4,-4.3
200303,60.4,-0.9
200304,71.8,2.2
200305,79.9,1.0
200306,81.8,-7.4
200307,97.5,4.0
200308,93.0,2.4
200309,80.2,-3.5
200310,76.0,4.4
200311,55.7,-3.0
200312,51.6,4.0
200401,49.4,1.1
200402,50.1,-1.6
200403,66.4,5.1
200404,67.8,-1.8
200405,84.9,6.0
200406,86.6,-2.6
200407,87.3,-6.2
200408,85.1,-5.5
200409,84.7,1.0
200410,71.2,-0.4
200411,52.8,-5.9
200412,52.6,5.0
200501,47.6,-0.7
200502,52.2,0.5
200503,59.4,-1.9
200504,69.5,-0.1
200505,77.4,-1.5
200506,88.1,-1.1
200507,93.7,0.2
200508,89.3,-1.3
200509,86.8,3.1
200510,72.9,1.3
200511,63.4,4.7
200512,49.4,1.8
200601,58.8,10.5
200602,53.5,1.8
200603,61.2,-0.1
200604,77.3,7.7
200605,82.8,3.9
200606,93.8,4.6
200607,94.7,1.2
200608,88.5,-2.1
200609,78.3,-5.4
200610,70.4,-1.2
200611,61.6,2.9
200612,47.4,-0.2
200701,35.0,-13.3
200702,43.9,-7.8
200703,66.3,5.0
200704,63.2,-6.4
200705,78.4,-0.5
200706,85.0,-4.2
200707,92.9,-0.6
200708,95.1,4.5
200709,86.9,3.2
200710,77.3,5.7
200711,62.0,3.3
200712,43.9,-3.7
200801,48.2,-0.1
200802,52.6,0.9
200803,61.0,-0.3
200804,68.6,-1.0
200805,82.1,3.2
200806,92.2,3.0
200807,93.5,0.0
200808,88.1,-2.5
200809,80.1,-3.6
200810,70.3,-1.3
200811,62.1,3.4
200812,49.2,1.6
200901,52.3,4.0
200902,59.2,7.5
200903,62.9,1.6
200904,67.0,-2.6
200905,76.5,-2.4
200906,89.1,-0.1
200907,93.2,-0.3
200908,89.9,-0.7
200909,79.8,-3.9
200910,61.2,-10.4
200911,61.2,2.5
200912,42.6,-5.0
201001,47.8,-0.5
201002,42.4,-9.3
201003,59.1,-2.2
201004,70.7,1.1
201005,76.7,-2.2
201006,90.9,1.7
201007,92.5,-1.0
201008,93.0,2.4
201009,89.9,6.2
201010,76.0,4.4
201011,61.1,2.4
201012,51.7,4.1
201101,48.0,-0.3
201102,49.9,-1.8
201103,62.2,0.9
201104,73.3,3.7
201105,79.6,0.7
201106,94.6,5.4
201107,100.8,7.3
201108,97.5,6.9
201109,83.6,-0.1
201110,72.7,1.1
201111,58.8,0.1
201112,40.0,-7.6
201201,51.6,3.3
201202,51.7,0.0
201203,69.3,8.0
201204,73.1,3.5
201205,83.7,4.8
201206,94.5,5.3
201207,97.3,3.8
201208,93.2,2.6
201209,85.0,1.3
201210,68.8,-2.8
201211,66.9,8.2
201212,49.9,2.3
201301,46.9,-1.4
201302,50.7,-1.0
201303,60.7,-0.6
201304,63.6,-6.0
201305,81.2,2.3
201306,93.3,4.1
201307,91.8,-1.7
201308,89.7,-0.9
201309,85.8,2.1
201310,71.0,-0.6
201311,55.6,-3.1
201312,45.9,-1.7
201401,49.2,0.9
201402,46.6,-5.1
201403,60.0,-1.3
201404,69.9,0.3
201405,80.8,1.9
201406,88.5,-0.7
201407,90.6,-2.9
201408,93.0,2.4
201409,82.4,-1.3
201410,74.5,2.9
201411,56.2,-2.5
201412,47.2,-0.4
201501,48.0,-0.3
201502,51.1,-0.6
201503,63.5,2.2
201504,71.8,2.2
201505,72.6,-6.3
201506,90.0,0.8
201507,92.3,-1.2
201508,89.6,-1.0
201509,88.5,4.8
201510,72.7,1.1
201511,58.5,-0.2
201512,47.3,-0.3
201601,49.5,1.2
201602,59.0,7.3
201603,66.7,5.4
201604,69.8,0.2
201605,74.1,-4.8
201606,91.5,2.3
201607,95.0,1.5
201608,88.0,-2.6
201609,85.6,1.9
201610,80.0,8.4
201611,65.6,6.9
201612,46.4,-1.2
201701,47.0,-1.3
201702,62.2,10.5
201703,68.2,6.9
201704,68.4,-1.2
201705,75.4,-3.5
201706,90.8,1.6
201707,93.4,-0.1
201708,84.1,-6.5
201709,81.9,-1.8
201710,72.3,0.7
201711,62.5,3.8
201712,50.1,2.5
201801,52.9,4.6
201802,51.2,-0.5
201803,66.4,5.1
201804,66.8,-2.8
201805,86.1,7.2
201806,93.4,4.2
201807,92.3,-1.2
201808,88.7,-1.9
201809,83.1,-0.6
201810,65.4,-6.2
201811,54.6,-4.1
201812,48.6,1.0
201901,45.9,-2.4
201902,46.5,-5.2
201903,54.0,-7.3
201904,71.3,1.7
201905,72.2,-6.7
201906,86.1,-3.1
201907,94.0,0.5
201908,94.3,3.7
201909,90.8,7.1
201910,65.6,-6.0
201911,58.4,-0.3
