Lincoln County, Washington, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,34.3,0.7
198902,30.5,-9.1
198903,45.6,-4.3
198904,62.3,3.4
198905,66.2,-2.0
198906,78.2,2.9
198907,83.9,-1.5
198908,78.5,-6.0
198909,76.7,1.3
198910,58.9,-0.3
198911,44.4,1.3
198912,34.0,1.0
199001,38.4,4.8
199002,37.9,-1.7
199003,53.0,3.1
199004,63.4,4.5
199005,64.7,-3.5
199006,73.7,-1.6
199007,87.1,1.7
199008,84.2,-0.3
199009,82.4,7.0
199010,56.2,-3.0
199011,46.8,3.7
199012,28.6,-4.4
199101,30.6,-3.0
199102,48.3,8.7
199103,47.6,-2.3
199104,59.2,0.3
199105,64.2,-4.0
199106,69.8,-5.5
199107,84.3,-1.1
199108,85.4,0.9
199109,79.3,3.9
199110,60.4,1.2
199111,40.1,-3.0
199112,37.8,4.8
199201,36.2,2.6
199202,46.5,6.9
199203,58.5,8.6
199204,61.1,2.2
199205,74.3,6.1
199206,83.2,7.9
199207,81.5,-3.9
199208,85.1,0.6
199209,72.0,-3.4
199210,61.5,2.3
199211,39.6,-3.5
199212,28.9,-4.1
199301,26.2,-7.4
199302,32.0,-7.6
199303,45.6,-4.3
199304,55.6,-3.3
199305,73.6,5.4
199306,73.8,-1.5
199307,73.2,-12.2
199308,79.4,-5.1
199309,75.3,-0.1
199310,63.8,4.6
199311,40.5,-2.6
199312,34.3,1.3
199401,40.1,6.5
199402,36.7,-2.9
199403,54.9,5.0
199404,62.1,3.2
199405,69.8,1.6
199406,76.1,0.8
199407,89.3,3.9
199408,85.2,0.7
199409,79.6,4.2
199410,59.4,0.2
199411,38.1,-5.0
199412,35.7,2.7
199501,36.2,2.6
199502,46.3,6.7
199503,50.2,0.3
199504,57.8,-1.1
199505,70.5,2.3
199506,73.6,-1.7
199507,83.2,-2.2
199508,78.4,-6.1
199509,77.1,1.7
199510,55.9,-3.3
199511,46.7,3.6
199512,34.6,1.6
199601,30.0,-3.6
199602,37.3,-2.3
199603,47.3,-2.6
199604,59.2,0.3
199605,61.6,-6.6
199606,75.0,-0.3
199607,87.4,2.0
199608,85.1,0.6
199609,70.9,-4.5
199610,56.7,-2.5
199611,40.0,-3.1
199612,29.4,-3.6
199701,31.8,-1.8
199702,37.6,-2.0
199703,48.4,-1.5
199704,55.5,-3.4
199705,69.3,1.1
199706,72.4,-2.9
199707,81.7,-3.7
199708,85.6,1.1
199709,74.7,-0.7
199710,57.7,-1.5
199711,45.8,2.7
199712,34.7,1.7
199801,34.5,0.9
199802,44.3,4.7
199803,51.0,1.1
199804,60.3,1.4
199805,68.4,0.2
199806,75.2,-0.1
199807,89.4,4.0
199808,87.7,3.2
199809,80.6,5.2
199810,59.8,0.6
199811,45.0,1.9
199812,33.4,0.4
199901,36.9,3.3
199902,42.0,2.4
199903,50.0,0.1
199904,58.2,-0.7
199905,64.1,-4.1
199906,72.9,-2.4
199907,81.7,-3.7
199908,85.5,1.0
199909,75.1,-0.3
199910,60.1,0.9
199911,48.0,4.9
199912,37.4,4.4
200001,32.6,-1.0
200002,39.9,0.3
200003,49.2,-0.7
200004,62.2,3.3
200005,66.0,-2.2
200006,74.9,-0.4
200007,83.0,-2.4
200008,83.5,-1.0
200009,71.2,-4.2
200010,59.0,-0.2
200011,35.1,-8.0
200012,28.7,-4.3
200101,31.4,-2.2
200102,34.9,-4.7
200103,49.7,-0.2
200104,55.8,-3.1
200105,70.2,2.0
200106,71.7,-3.6
200107,83.6,-1.8
200108,86.3,1.8
200109,78.3,2.9
200110,57.5,-1.7
200111,46.8,3.7
200112,33.7,0.7
200201,36.2,2.6
200202,40.7,1.1
200203,44.6,-5.3
200204,57.7,-1.2
200205,64.1,-4.1
200206,77.6,2.3
200207,87.4,2.0
200208,82.4,-2.1
200209,74.7,-0.7
200210,59.0,-0.2
200211,45.6,2.5
200212,37.2,4.2
200301,37.4,3.8
200302,43.2,3.6
200303,51.0,1.1
200304,57.3,-1.6
200305,66.1,-2.1
200306,79.2,3.9
200307,89.4,4.0
200308,85.7,1.2
200309,77.0,1.6
200310,64.9,5.7
200311,39.5,-3.6
200312,33.4,0.4
200401,29.6,-4.0
200402,38.4,-1.2
200403,56.0,6.1
200404,63.8,4.9
200405,67.0,-1.2
200406,77.7,2.4
200407,87.5,2.1
200408,85.3,0.8
200409,70.6,-4.8
200410,61.4,2.2
200411,44.9,1.8
200412,37.2,4.2
200501,33.0,-0.6
200502,46.2,6.6
200503,54.6,4.7
200504,60.1,1.2
200505,68.5,0.3
200506,73.4,-1.9
200507,85.4,0.0
200508,86.1,1.6
200509,71.6,-3.8
200510,59.5,0.3
200511,39.4,-3.7
200512,29.2,-3.8
200601,40.0,6.4
200602,40.8,1.2
200603,48.3,-1.6
200604,58.5,-0.4
200605,69.2,1.0
200606,76.2,0.9
200607,89.1,3.7
200608,84.8,0.3
200609,76.5,1.1
200610,59.6,0.4
200611,42.1,-1.0
200612,32.4,-0.6
200701,30.5,-3.1
200702,39.1,-0.5
200703,52.4,2.5
200704,58.4,-0.5
200705,70.1,1.9
200706,75.1,-0.2
200707,89.9,4.5
200708,82.8,-1.7
200709,73.9,-1.5
200710,58.1,-1.1
200711,42.6,-0.5
200712,32.8,-0.2
200801,29.0,-4.6
200802,37.8,-1.8
200803,46.6,-3.3
200804,54.0,-4.9
200805,69.6,1.4
200806,74.8,-0.5
200807,85.2,-0.2
200808,83.5,-1.0
200809,76.0,0.6
200810,60.3,1.1
200811,45.1,2.0
200812,27.3,-5.7
200901,30.1,-3.5
200902,35.8,-3.8
200903,43.9,-6.0
200904,57.7,-1.2
200905,69.2,1.0
200906,77.2,1.9
200907,87.4,2.0
200908,84.3,-0.2
200909,78.8,3.4
200910,53.6,-5.6
200911,43.8,0.7
200912,29.3,-3.7
201001,39.5,5.9
201002,45.0,5.4
201003,52.6,2.7
201004,58.0,-0.9
201005,63.4,-4.8
201006,70.5,-4.8
201007,84.1,-1.3
201008,82.0,-2.5
201009,71.6,-3.8
201010,60.4,1.2
201011,39.9,-3.2
201012,33.7,0.7
201101,33.9,0.3
201102,36.9,-2.7
201103,47.8,-2.1
201104,52.0,-6.9
201105,63.3,-4.9
201106,71.2,-4.1
201107,80.0,-5.4
201108,85.3,0.8
201109,79.9,4.5
201110,58.3,-0.9
201111,43.3,0.2
201112,33.2,0.2
201201,35.1,1.5
201202,40.4,0.8
201203,48.1,-1.8
201204,60.1,1.2
201205,66.4,-1.8
201206,70.8,-4.5
201207,86.0,0.6
201208,86.8,2.3
201209,78.8,3.4
201210,60.0,0.8
201211,43.9,0.8
201212,36.1,3.1
201301,28.5,-5.1
201302,39.8,0.2
201303,50.5,0.6
201304,58.6,-0.3
201305,68.8,0.6
201306,73.6,-1.7
201307,88.9,3.5
201308,85.4,0.9
201309,75.4,0.0
201310,58.9,-0.3
201311,42.2,-0.9
201312,30.5,-2.5
201401,33.8,0.2
201402,33.2,-6.4
201403,50.4,0.5
201404,59.1,0.2
201405,70.8,2.6
201406,75.3,0.0
201407,89.9,4.5
201408,86.2,1.7
201409,76.5,1.1
201410,63.6,4.4
201411,42.5,-0.6
201412,37.8,4.8
201501,34.5,0.9
201502,48.0,8.4
201503,56.6,6.7
201504,59.9,1.0
201505,72.0,3.8
201506,85.4,10.1
201507,88.1,2.7
201508,86.4,1.9
201509,71.5,-3.9
201510,65.5,6.3
201511,43.1,0.0
201512,34.4,1.4
201601,33.9,0.3
201602,46.3,6.7
201603,52.1,2.2
201604,66.6,7.7
201605,70.2,2.0
201606,77.5,2.2
201607,82.0,-3.4
201608,85.5,1.0
201609,72.3,-3.1
201610,56.3,-2.9
201611,50.4,7.3
201612,28.2,-4.8
201701,24.9,-8.7
201702,34.2,-5.4
201703,47.8,-2.1
201704,56.4,-2.5
201705,69.1,0.9
201706,76.0,0.7
201707,88.8,3.4
201708,88.3,3.8
201709,75.0,-0.4
201710,57.6,-1.6
201711,43.5,0.4
201712,30.4,-2.6
201801,37.3,3.7
201802,39.0,-0.6
201803,49.1,-0.8
201804,56.6,-2.3
201805,73.2,5.0
201806,74.8,-0.5
201807,87.7,2.3
201808,84.7,0.2
201809,71.8,-3.6
201810,59.3,0.1
201811,44.0,0.9
201812,36.2,3.2
201901,35.7,2.1
201902,27.8,-11.8
201903,42.3,-7.6
201904,58.1,-0.8
201905,70.0,1.8
201906,77.0,1.7
201907,82.2,-3.2
201908,85.0,0.5
201909,71.4,-4.0
201910,53.1,-6.1
201911,43.6,0.5
