Whitman County, Washington, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1989-2019
Missing: -99
Date,Value,Anomaly
198901,26.0,-0.3
198902,16.7,-10.6
198903,32.0,0.1
198904,38.5,2.1
198905,41.2,-1.4
198906,49.4,1.3
198907,50.4,-2.5
198908,50.6,-1.6
198909,44.1,-1.2
198910,36.3,-0.4
198911,34.2,3.2
198912,27.4,1.9
199001,30.0,3.7
199002,24.8,-2.5
199003,30.9,-1.0
199004,38.6,2.2
199005,42.1,-0.5
199006,48.5,0.4
199007,53.7,0.8
199008,54.0,1.8
199009,46.7,1.4
199010,36.6,-0.1
199011,34.3,3.3
199012,17.3,-8.2
199101,22.4,-3.9
199102,33.2,5.9
199103,30.1,-1.8
199104,35.5,-0.9
199105,41.4,-1.2
199106,45.4,-2.7
199107,51.3,-1.6
199108,53.6,1.4
199109,43.6,-1.7
199110,33.0,-3.7
199111,32.1,1.1
199112,30.2,4.7
199201,30.2,3.9
199202,33.3,6.0
199203,33.3,1.4
199204,38.8,2.4
199205,41.9,-0.7
199206,50.6,2.5
199207,53.1,0.2
199208,51.7,-0.5
199209,44.1,-1.2
199210,38.2,1.5
199211,31.1,0.1
199212,22.3,-3.2
199301,17.2,-9.1
199302,21.2,-6.1
199303,32.0,0.1
199304,38.4,2.0
199305,47.7,5.1
199306,48.6,0.5
199307,50.5,-2.4
199308,49.7,-2.5
199309,42.5,-2.8
199310,37.9,1.2
199311,21.3,-9.7
199312,29.7,4.2
199401,32.5,6.2
199402,25.8,-1.5
199403,31.1,-0.8
199404,39.5,3.1
199405,44.1,1.5
199406,46.2,-1.9
199407,53.5,0.6
199408,52.3,0.1
199409,46.6,1.3
199410,35.9,-0.8
199411,29.1,-1.9
199412,26.9,1.4
199501,27.5,1.2
199502,30.9,3.6
199503,32.1,0.2
199504,35.3,-1.1
199505,42.9,0.3
199506,48.0,-0.1
199507,53.2,0.3
199508,47.7,-4.5
199509,47.0,1.7
199510,36.1,-0.6
199511,34.3,3.3
199512,26.9,1.4
199601,24.8,-1.5
199602,22.6,-4.7
199603,30.5,-1.4
199604,37.8,1.4
199605,40.2,-2.4
199606,46.0,-2.1
199607,52.5,-0.4
199608,51.1,-1.1
199609,42.9,-2.4
199610,37.0,0.3
199611,30.2,-0.8
199612,24.1,-1.4
199701,24.8,-1.5
199702,29.2,1.9
199703,33.8,1.9
199704,34.7,-1.7
199705,45.0,2.4
199706,47.9,-0.2
199707,51.9,-1.0
199708,54.2,2.0
199709,48.1,2.8
199710,36.8,0.1
199711,33.2,2.2
199712,25.7,0.2
199801,27.7,1.4
199802,32.9,5.6
199803,33.5,1.6
199804,35.9,-0.5
199805,43.9,1.3
199806,48.6,0.5
199807,57.8,4.9
199808,53.2,1.0
199809,49.0,3.7
199810,36.0,-0.7
199811,35.9,4.9
199812,25.3,-0.2
199901,30.3,4.0
199902,31.4,4.1
199903,32.2,0.3
199904,33.1,-3.3
199905,38.2,-4.4
199906,46.9,-1.2
199907,49.1,-3.8
199908,55.4,3.2
199909,40.8,-4.5
199910,36.0,-0.7
199911,36.2,5.2
199912,30.7,5.2
200001,26.5,0.2
200002,30.8,3.5
200003,31.9,0.0
200004,38.3,1.9
200005,42.5,-0.1
200006,47.2,-0.9
200007,50.5,-2.4
200008,49.0,-3.2
200009,45.1,-0.2
200010,36.1,-0.6
200011,23.2,-7.8
200012,23.6,-1.9
200101,25.3,-1.0
200102,25.3,-2.0
200103,32.0,0.1
200104,35.4,-1.0
200105,42.0,-0.6
200106,46.4,-1.7
200107,51.7,-1.2
200108,52.5,0.3
200109,47.2,1.9
200110,36.6,-0.1
200111,34.3,3.3
200112,26.1,0.6
200201,28.4,2.1
200202,26.6,-0.7
200203,29.0,-2.9
200204,35.1,-1.3
200205,40.4,-2.2
200206,48.7,0.6
200207,54.1,1.2
200208,48.6,-3.6
200209,43.6,-1.7
200210,29.4,-7.3
200211,29.9,-1.1
200212,31.5,6.0
200301,32.3,6.0
200302,28.1,0.8
200303,35.2,3.3
200304,37.1,0.7
200305,42.1,-0.5
200306,47.9,-0.2
200307,52.8,-0.1
200308,52.3,0.1
200309,46.6,1.3
200310,39.4,2.7
200311,24.9,-6.1
200312,28.2,2.7
200401,23.4,-2.9
200402,28.5,1.2
200403,33.4,1.5
200404,36.2,-0.2
200405,42.8,0.2
200406,48.2,0.1
200407,54.4,1.5
200408,55.2,3.0
200409,45.2,-0.1
200410,38.2,1.5
200411,31.4,0.4
200412,28.9,3.4
200501,25.5,-0.8
200502,24.2,-3.1
200503,31.8,-0.1
200504,36.3,-0.1
200505,44.8,2.2
200506,47.2,-0.9
200507,52.2,-0.7
200508,50.5,-1.7
200509,42.1,-3.2
200510,39.8,3.1
200511,30.4,-0.6
200512,21.5,-4.0
200601,32.8,6.5
200602,24.8,-2.5
200603,31.9,0.0
200604,37.1,0.7
200605,42.0,-0.6
200606,49.5,1.4
200607,54.8,1.9
200608,49.6,-2.6
200609,44.5,-0.8
200610,33.5,-3.2
200611,31.3,0.3
200612,25.1,-0.4
200701,19.9,-6.4
200702,29.9,2.6
200703,34.3,2.4
200704,35.5,-0.9
200705,41.5,-1.1
200706,47.8,-0.3
200707,55.9,3.0
200708,49.9,-2.3
200709,42.5,-2.8
200710,36.6,-0.1
200711,29.2,-1.8
200712,25.7,0.2
200801,20.6,-5.7
200802,29.1,1.8
200803,29.9,-2.0
200804,31.7,-4.7
200805,43.4,0.8
200806,45.8,-2.3
200807,51.4,-1.5
200808,51.8,-0.4
200809,43.3,-2.0
200810,35.1,-1.6
200811,34.6,3.6
200812,18.6,-6.9
200901,23.7,-2.6
200902,28.1,0.8
200903,28.6,-3.3
200904,34.2,-2.2
200905,41.6,-1.0
200906,48.7,0.6
200907,53.0,0.1
200908,54.3,2.1
200909,46.3,1.0
200910,33.2,-3.5
200911,31.4,0.4
200912,19.3,-6.2
201001,32.6,6.3
201002,31.4,4.1
201003,30.9,-1.0
201004,35.8,-0.6
201005,39.0,-3.6
201006,47.9,-0.2
201007,50.5,-2.4
201008,50.8,-1.4
201009,46.1,0.8
201010,39.2,2.5
201011,27.9,-3.1
201012,27.6,2.1
201101,26.3,0.0
201102,23.9,-3.4
201103,33.0,1.1
201104,33.0,-3.4
201105,40.0,-2.6
201106,46.4,-1.7
201107,48.9,-4.0
201108,50.5,-1.7
201109,46.4,1.1
201110,39.6,2.9
201111,28.5,-2.5
201112,24.0,-1.5
201201,25.4,-0.9
201202,28.5,1.2
201203,31.7,-0.2
201204,37.7,1.3
201205,40.2,-2.4
201206,47.8,-0.3
201207,55.1,2.2
201208,51.0,-1.2
201209,44.0,-1.3
201210,37.2,0.5
201211,34.5,3.5
201212,28.9,3.4
201301,20.8,-5.5
201302,28.8,1.5
201303,31.5,-0.4
201304,34.6,-1.8
201305,42.2,-0.4
201306,47.9,-0.2
201307,52.2,-0.7
201308,53.9,1.7
201309,50.5,5.2
201310,32.3,-4.4
201311,28.1,-2.9
201312,21.1,-4.4
201401,27.3,1.0
201402,22.9,-4.4
201403,32.2,0.3
201404,35.8,-0.6
201405,42.5,-0.1
201406,47.3,-0.8
201407,56.8,3.9
201408,55.5,3.3
201409,47.0,1.7
201410,42.5,5.8
201411,28.3,-2.7
201412,28.5,3.0
201501,28.9,2.6
201502,32.6,5.3
201503,35.1,3.2
201504,33.8,-2.6
201505,44.0,1.4
201506,52.5,4.4
201507,56.4,3.5
201508,53.6,1.4
201509,44.2,-1.1
201510,42.3,5.6
201511,28.6,-2.4
201512,27.4,1.9
201601,27.6,1.3
201602,32.6,5.3
201603,34.0,2.1
201604,40.9,4.5
201605,44.6,2.0
201606,48.1,0.0
201607,51.9,-1.0
201608,50.9,-1.3
201609,44.4,-0.9
201610,41.7,5.0
201611,37.5,6.5
201612,18.8,-6.7
201701,14.4,-11.9
201702,25.6,-1.7
201703,34.7,2.8
201704,37.0,0.6
201705,43.6,1.0
201706,49.9,1.8
201707,54.5,1.6
201708,55.1,2.9
201709,47.8,2.5
201710,36.1,-0.6
201711,33.5,2.5
201712,23.7,-1.8
201801,31.7,5.4
201802,25.5,-1.8
201803,31.6,-0.3
201804,36.9,0.5
201805,48.5,5.9
201806,48.5,0.4
201807,53.5,0.6
201808,54.0,1.8
201809,43.7,-1.6
201810,35.6,-1.1
201811,31.6,0.6
201812,28.5,3.0
201901,28.6,2.3
201902,18.2,-9.1
201903,23.3,-8.6
201904,38.7,2.3
201905,45.1,2.5
201906,50.0,1.9
201907,52.2,-0.7
201908,54.7,2.5
201909,48.3,3.0
201910,32.2,-4.5
201911,29.5,-1.5
